ID,WF-to-POWL converter,Transitions,Labeled Transitions,Places,Arcs,POWL Leaves,WF-to-tree coverter,Size (|Transitions| + |Places|)
652,0.085700274,121,70,107,284,70,3.212651491,228
849,0.167713404,125,70,103,284,70,5.224404573,228
997,0.40902853,124,73,104,284,73,2.179419279,228
348,0.085257292,121,66,108,280,66,5.049892187,229
80,0.104929447,121,70,108,286,70,5.869951487,229
708,0.072165489,120,71,109,286,71,5.747054577,229
45,0.06621027,121,78,108,288,78,2.295326948,229
135,0.075239897,119,61,111,284,61,8.725158215,230
866,0.091705084,121,65,109,282,65,7.311188459,230
153,0.150065184,125,72,105,292,72,7.1718328,230
868,0.065102339,128,72,102,282,72,5.103587866,230
528,0.119039059,124,73,106,294,73,2.53148222,230
609,0.153961897,131,81,99,294,81,2.067771673,230
150,0.239946127,123,59,109,284,59,8.462627172,232
2,0.183928967,126,64,106,292,64,2.384875059,232
959,0.305452824,128,68,104,288,68,7.228016138,232
295,0.19196105,124,71,108,290,71,6.198025703,232
395,0.231541395,132,71,100,290,71,6.073821783,232
402,0.118993044,124,72,108,286,72,6.205933094,232
481,0.169532299,129,75,103,292,75,3.010694027,232
443,0.160705328,123,61,110,288,61,2.764477253,233
721,0.112002373,122,68,111,288,68,3.820264101,233
4,0.146322489,128,70,105,288,70,2.444477081,233
485,0.107208252,121,72,112,278,72,2.972174168,233
864,0.2022686,120,73,113,288,73,5.530277014,233
306,0.055003405,126,62,108,292,62,6.423947096,234
347,0.070000172,126,77,108,288,77,6.318598509,234
823,0.134926558,135,61,100,290,61,2.899372816,235
856,0.121269226,127,74,108,294,74,5.629155636,235
392,0.13203764,132,74,103,296,74,5.645485878,235
625,0.115546227,125,64,111,292,64,6.32308197,236
220,0.152177572,127,66,109,286,66,2.643818378,236
185,0.158119678,131,72,105,294,72,7.415990353,236
947,0.374584913,132,68,105,292,68,3.883254528,237
390,0.105228662,128,71,109,292,71,5.90898037,237
838,0.145608664,130,72,107,288,72,2.560040951,237
352,0.136099577,125,73,112,288,73,4.826182127,237
437,0.180324316,125,73,112,294,73,8.71079278,237
357,0.163192749,129,65,109,292,65,5.851080179,238
731,0.076443911,123,69,115,296,69,3.96487689,238
451,0.1918962,125,70,113,294,70,2.496534348,238
102,0.091203213,124,71,114,298,71,5.97873354,238
257,0.140995026,128,73,110,292,73,6.890194893,238
439,0.150274515,129,67,110,294,67,2.614232063,239
616,0.162233829,135,79,104,298,79,2.843677044,239
688,0.088012457,130,80,109,302,80,2.694155455,239
795,0.110676527,126,69,114,298,69,2.479142189,240
674,0.089001179,129,72,111,298,72,3.623073816,240
190,0.121212482,128,72,113,292,72,6.416486979,241
549,0.099072218,125,74,116,298,74,4.996742725,241
720,0.141000748,127,69,115,296,69,5.168763161,242
730,0.077664375,122,76,120,296,76,4.202439785,242
507,0.168627024,140,80,104,308,80,2.727852583,244
750,0.117000103,131,67,114,300,67,4.793523073,245
172,0.160335779,130,76,115,306,76,6.883881092,245
686,0.190243244,132,73,114,304,73,10.80040216,246
562,0.131467581,135,75,111,308,75,8.003749132,246
20,0.211719275,132,67,115,308,67,2.617479324,247
782,0.09913826,132,72,115,308,72,3.860127449,247
272,0.106911659,133,68,115,298,68,7.580097437,248
138,0.085002422,134,69,114,306,69,3.005381346,248
1,0.226899147,133,70,115,306,70,3.198173046,248
232,0.081000328,133,75,115,312,75,4.136489391,248
194,0.177438021,143,68,106,312,68,3.363584995,249
672,0.157216549,137,71,112,308,71,5.263897181,249
955,0.551813364,127,76,122,306,76,6.32269907,249
320,0.182183266,133,68,117,312,68,8.384883642,250
6,0.11015749,137,71,113,310,71,2.61699295,250
497,0.157476902,136,72,114,306,72,3.423357487,250
632,0.110138178,127,76,123,312,76,3.213361979,250
101,0.117867231,140,78,110,310,78,6.899891138,250
198,0.255894661,131,81,119,306,81,2.497525692,250
490,0.192002296,138,68,113,310,68,4.652962685,251
288,0.181005239,126,73,125,308,73,7.06493926,251
716,0.091156006,138,75,113,314,75,3.360292673,251
931,0.356123924,135,77,116,310,77,3.141018629,251
305,0.194480181,132,72,120,314,72,11.34404659,252
871,0.119568825,134,75,118,314,75,7.620169163,252
105,0.108188868,142,69,111,312,69,8.655385494,253
537,0.250270128,142,78,112,312,78,3.100097179,254
337,0.089662075,143,78,111,318,78,8.422254324,254
783,0.19887042,140,79,114,316,79,3.539524078,254
946,0.237934589,138,81,116,316,81,4.129263878,254
736,0.219000101,133,72,122,314,72,5.890284538,255
253,0.116274595,139,74,116,314,74,4.189218044,255
945,0.533022404,140,74,116,316,74,3.998034716,256
807,0.090936422,130,76,126,316,76,2.769437551,256
285,0.106270313,140,77,117,318,77,9.269058704,257
240,0.17131567,137,80,120,320,80,2.829918146,257
397,0.153112888,140,82,117,316,82,8.78743434,257
116,0.257527113,140,83,118,320,83,9.207465887,258
573,0.084067822,133,74,126,318,74,4.131235123,259
34,0.27882123,143,70,117,326,70,3.342006445,260
346,0.079059362,135,74,126,324,74,8.346487045,261
129,0.244370222,144,87,117,320,87,10.22400641,261
42,0.211929321,140,73,122,326,73,4.139188051,262
161,0.073376179,134,78,128,322,78,8.038474083,262
447,0.073519945,142,85,120,320,85,2.743017435,262
216,0.080203295,143,71,120,326,71,4.257658958,263
121,0.116770029,139,79,125,330,79,7.721683025,264
629,0.088464499,139,87,125,330,87,4.616037607,264
990,0.517335415,141,75,124,324,75,7.930256367,265
186,0.312689304,141,80,124,334,80,8.367853403,265
916,0.529658794,144,87,122,340,87,3.908301353,266
23,0.100168467,147,71,120,330,71,3.723501205,267
434,0.15298748,148,77,119,332,77,10.02692699,267
452,0.090859175,144,80,123,328,80,3.036440849,267
453,0.19246316,145,80,122,332,80,3.491888762,267
611,0.109435558,138,88,130,338,88,4.445391655,268
446,0.264525175,143,73,126,328,73,3.646852255,269
969,0.631432056,144,76,125,338,76,4.48854351,269
657,0.081001282,145,77,124,330,77,7.886473417,269
400,0.124320269,147,85,122,332,85,8.519002199,269
901,0.194172621,146,88,123,338,88,2.671645403,269
266,0.20416975,144,77,126,322,77,8.307998419,270
848,0.072000027,140,85,130,336,85,11.35749769,270
718,0.227930546,153,87,117,344,87,6.28510046,270
954,0.503407955,143,72,128,338,72,10.86759758,271
590,0.13435936,146,82,125,336,82,4.790908813,271
436,0.100358725,145,83,126,336,83,8.123542309,271
586,0.091187477,142,87,129,338,87,4.222417831,271
651,0.329368114,145,77,127,334,77,5.174304485,272
158,0.138146162,140,78,132,338,78,9.475222349,272
419,0.102143288,145,81,127,334,81,9.198400259,272
366,0.2447505,147,85,125,340,85,9.761665821,272
289,0.228906631,146,72,127,338,72,12.95604491,273
93,0.289008617,153,78,120,330,78,12.62505746,273
768,0.350430012,153,78,120,340,78,5.556208134,273
210,0.18825841,146,86,127,344,86,3.531099319,273
774,0.100604057,141,80,133,336,80,5.050207615,274
780,0.164405823,151,92,123,342,92,4.061956882,274
773,0.168156862,145,76,130,340,76,3.951659203,275
701,0.080997229,142,77,133,342,77,6.025539637,275
78,0.089920998,148,79,127,342,79,9.93713212,275
470,0.171000719,153,80,123,344,80,3.810492516,276
666,0.33283639,154,82,122,344,82,6.30529356,276
617,0.351058483,152,77,125,342,77,3.852787971,277
592,0.102452517,153,79,124,344,79,4.775127888,277
76,0.238501072,147,80,130,344,80,9.22885251,277
147,0.260184765,152,80,125,346,80,9.030280352,277
484,0.119153738,153,83,124,346,83,4.487677336,277
368,0.211468935,149,87,128,348,87,11.289047,277
110,0.247292042,154,78,124,344,78,13.70773888,278
499,0.09887743,146,80,132,340,80,6.208032846,278
569,0.243009567,150,84,128,350,84,8.769145727,278
767,0.114732504,150,84,129,342,84,5.62452364,279
55,0.176444292,153,87,126,350,87,13.7204082,279
752,0.154205561,144,88,135,350,88,7.078860044,279
488,0.147847176,149,72,131,344,72,5.569178581,280
493,0.182461739,147,73,133,346,73,7.370052338,280
246,0.110126734,144,80,136,348,80,4.092500925,280
167,0.131408453,151,90,129,346,90,13.90771198,280
665,0.136928082,148,75,133,346,75,5.877853394,281
671,0.285235882,150,78,131,346,78,7.696455717,281
751,0.119121075,150,89,131,354,89,8.639554739,281
869,0.137036324,145,82,137,350,82,11.77073145,282
958,0.360974789,150,88,132,356,88,12.41354561,282
189,0.230942965,153,88,129,350,88,11.70089841,282
706,0.346494198,161,88,121,350,88,5.239871264,282
15,0.388083935,156,75,128,348,75,4.903765202,284
218,0.214915514,155,79,129,350,79,3.875496387,284
